鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物)+車位,臺北市文山區車前路１７號五樓,19.21,商,,,1101221,土地1建物1車位2,五層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,272.76,3,2,2,有,有,53000000,229340,坡道平面,66.08,5600000,,RPVNMLSJKHHGFAA67DA,115.26,10.5,12.1,有,2.0
中正區,房地(土地+建物),臺北市中正區南昌路二段１４２之１號四樓之２,3.33,商,,,1110114,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960906,35.86,1,1,1,有,有,10000000,278862,,0.0,0,夾層；,RPRNMLTJKHHGFAA37DA,21.48,2.19,0.0,有,3.0
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段６１號七樓,11.95,商,,,1101220,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,137.26999999999998,3,2,2,有,有,22070000,171031,塔式車位,15.83,1300000,塔式車位位置：地下三層。,RPWNMLKKJHHGFBA07DA,73.33,0.0,0.0,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區艋舺大道２７５巷１８號十三樓,42.1,都市：其他:特定專用區(一)。,,,1101214,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,350.48,0,2,3,有,有,51000000,165836,坡道平面,69.48,4400000,,RPPOMLKLJHHGFBA56DA,172.15,2.0,16.04,有,
大同區,房地(土地+建物)+車位,臺北市大同區迪化街二段１５８號十樓之９,11.92,住,,,1110103,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100106,115.85,2,2,1,有,有,19880000,171601,坡道平面,32.11,0,,RPXOMLRLJHHGFBA08DA,47.53,4.23,4.09,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路三段１３３號三樓,20.87,住,,,1101212,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050419,173.82,4,2,2,有,有,24800000,155186,升降平面,26.9,2000000,,RPSOMLSJKHHGFBA57DA,83.95,6.27,6.92,有,8.0
中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號十六樓,10.94,商,,,1090611,土地2建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,200.01,2,2,2,有,有,83943491,464174,坡道平面,26.49,3400000,總價內含工程減帳＄256509元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPQPMLKKJHHGFCA76DA,102.29,0.0,7.61,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街５８號七樓,67.62,住,,,1101227,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990505,326.99,3,2,3,有,有,68000000,207957,坡道平面,56.58,0,,RPWOMLOLJHHGFCA77DA,159.88,12.71,12.99,有,11.0
信義區,房地(土地+建物)+車位,臺北市信義區中坡南路２０１巷１８之２號五樓,14.96,住,,,1101218,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,140.51999999999998,2,2,1,有,有,33970000,241745,坡道平面,32.77,0,,RPXOMLLKJHHGFDA57DA,56.1,9.86,5.2,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號十樓,39.89,住,,,1101119,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,252.7,4,2,2,有,有,63500000,275518,坡道平面,30.21,2200000,,RPRPMLPLJHHGFEA67DA,124.72,5.7,14.67,有,
